ticker,chi_name
000001.SH,上证综指
000002.SH,上证A指
000003.SH,上证B指
000004.SH,上证工业类指数
000005.SH,上证商业类指数
000006.SH,上证房地产指数
000007.SH,上证公用事业股指数
000008.SH,上证综合股指数
000009.SH,上证380
000010.SH,上证180
000011.SH,上证基金指数
000012.SH,上证国债
000013.SH,上证企债
000015.SH,上证红利
000016.SH,上证50
000017.SH,新综指
000018.SH,180金融
000019.SH,治理指数
000020.SH,中型综指
000021.SH,180治理
000022.SH,上证公司债
000023.SH,沪分离债
000025.SH,180基建
000026.SH,180资源
000027.SH,180运输
000028.SH,180成长
000029.SH,180价值
000030.SH,180R成长
000031.SH,180R价值
000032.SH,上证能源
000033.SH,上证材料
000034.SH,上证工业
000035.SH,上证可选
000036.SH,上证消费
000037.SH,上证医药
000038.SH,上证金融
000039.SH,上证信息
000040.SH,上证电信
000041.SH,上证公用
000042.SH,上证央企
000043.SH,超大盘
000044.SH,上证中盘
000045.SH,上证小盘
000046.SH,上证中小
000047.SH,上证全指
000048.SH,责任指数
000049.SH,上证民企
000050.SH,50等权
000051.SH,180等权
000052.SH,50基本
000053.SH,180基本
000054.SH,上证海外
000055.SH,上证地企
000056.SH,上证国企
000057.SH,全指成长
000058.SH,全指价值
000059.SH,全R成长
000060.SH,全R价值
000061.SH,上证企债30
000062.SH,上证沪企
000063.SH,上证周期
000064.SH,非周期
000065.SH,上证龙头
000066.SH,上证商品
000067.SH,上证新兴
000068.SH,上证资源
000069.SH,消费80
000070.SH,能源等权
000071.SH,材料等权
000072.SH,工业等权
000073.SH,可选等权
000074.SH,消费等权
000075.SH,医药等权
000076.SH,金融等权
000077.SH,信息等权
000078.SH,电信等权
000079.SH,公用等权
000090.SH,上证流通
000091.SH,沪财中小
000092.SH,资源50
000093.SH,180分层
000094.SH,上证上游
000095.SH,上证中游
000096.SH,上证下游
000097.SH,高端装备
000098.SH,上证F200
000099.SH,上证F300
000100.SH,上证F500
000101.SH,上证5年信用
000102.SH,沪投资品
000103.SH,沪消费品
000104.SH,380能源
000105.SH,380材料
000106.SH,380工业
000107.SH,380可选
000108.SH,380消费
000109.SH,380医药
000110.SH,380金融
000111.SH,380信息
000112.SH,380电信
000113.SH,380公用
000114.SH,持续产业
000115.SH,380等权
000116.SH,上证信用100
000117.SH,380成长
000118.SH,380价值
000119.SH,380R成长
000120.SH,380R价值
000121.SH,医药主题
000122.SH,农业主题
000123.SH,上证180动态
000125.SH,上证180稳定
000126.SH,上证消费50
000128.SH,380基本
000129.SH,180波动
000130.SH,380波动
000131.SH,上证高新
000132.SH,上证100
000133.SH,上证150
000134.SH,上证银行
000135.SH,上证180高贝塔
000136.SH,上证180低贝塔
000137.SH,上证380高贝塔
000138.SH,上证380低贝塔
000139.SH,上证转债
000141.SH,上证380动态
000142.SH,上证380稳定
000145.SH,优势资源
000146.SH,优势制造
000147.SH,优势消费
000148.SH,消费领先
000149.SH,上证180红利
000150.SH,上证380红利
000151.SH,上证国企红利
000152.SH,上证央企红利
000153.SH,上证民企红利
000155.SH,上证市值百强
000158.SH,上证环保
000159.SH,沪股通
000160.SH,沪新丝路
000161.SH,沪中国造
000162.SH,沪互联+
000171.CSI,新兴成指
000801.CSI,资源80
000801.SH,资源80(SH)
000802.SH,500沪市
000803.CSI,300波动
000803.SH,300波动(SH)
000804.CSI,500波动
000804.SH,500波动(SH)
000805.SH,A股资源
000806.CSI,消费服务
000807.CSI,食品饮料
000808.SH,医药生物
000809.CSI,细分农业
000809.SH,细分农业(SH)
000810.CSI,细分能源
000810.SH,细分能源(SH)
000811.CSI,细分有色
000811.SH,细分有色(SH)
000812.CSI,细分机械
000812.SH,细分机械(SH)
000813.CSI,细分化工
000813.SH,细分化工(SH)
000814.SH,细分医药
000815.CSI,细分食品
000815.SH,细分食品(SH)
000816.CSI,细分地产
000817.SH,兴证海西
000818.CSI,细分金融
000818.SH,细分金融(SH)
000819.SH,有色金属
000820.CSI,煤炭指数
000820.SH,煤炭指数(SH)
000821.CSI,沪深300红利
000822.CSI,中证500红利
000822.SH,中证500红利(SH)
000824.CSI,中证国企红利
000824.SH,中证国企红利(SH)
000825.CSI,中证央企红利
000825.SH,中证央企红利(SH)
000826.CSI,中证民企红利
000826.SH,中证民企红利(SH)
000827.SH,中证环保
000828.SH,沪深300高贝塔
000829.CSI,沪深300低贝塔
000829.SH,沪深300低贝塔(SH)
000830.CSI,中证500高贝塔
000830.SH,中证500高贝塔(SH)
000831.CSI,中证500低贝塔
000831.SH,中证500低贝塔(SH)
000832.CSI,中证转债
000833.CSI,中高企债
000838.CSI,中证创业价值
000838.SH,中证创业价值(SH)
000839.CSI,中证浙企综指
000839.SH,中证浙企综指(SH)
000840.CSI,中证浙江民企
000840.SH,中证浙江民企(SH)
000841.SH,中证800医药
000842.SH,中证800等权
000843.CSI,沪深300动态
000843.SH,沪深300动态(SH)
000844.CSI,沪深300稳定
000844.SH,沪深300稳定(SH)
000845.CSI,中证中期信用债
000846.CSI,中证财通ESG100
000852.SH,中证1000
000855.SH,央视500
000860.CSI,结构调整
000891.CSI,新兴综指
000901.SH,小康指数
000902.CSI,中证流通
000902.SH,中证流通(SH)
000903.SH,中证100
000904.SH,中证200
000905.SH,中证500
000906.SH,中证800
000907.CSI,中证700
000907.SH,中证700(SH)
000908.CSI,沪深300能源
000909.CSI,沪深300材料
000910.CSI,沪深300工业
000911.CSI,沪深300可选
000912.CSI,沪深300消费
000913.SH,沪深300医药
000914.SH,沪深300金融
000915.CSI,沪深300信息
000915.SH,沪深300信息(SH)
000916.CSI,沪深300电信
000916.SH,沪深300电信(SH)
000917.CSI,沪深300公用
000918.SH,沪深300成长
000919.CSI,沪深300价值
000920.CSI,沪深300R成长
000920.SH,沪深300R成长(SH)
000921.CSI,沪深300R价值
000921.SH,沪深300R价值(SH)
000922.CSI,中证红利
000923.SH,中证公司债(SH)
000924.SH,中证分离债
000925.CSI,基本面50
000926.CSI,中证央企
000926.SH,中证央企(SH)
000927.CSI,央企100
000927.SH,央企100(SH)
000928.SH,中证能源
000929.CSI,中证材料
000929.SH,中证材料(SH)
000930.CSI,中证工业
000930.SH,中证工业(SH)
000931.CSI,中证可选
000932.SH,中证消费
000933.SH,中证医药
000934.SH,中证金融
000935.SH,中证信息
000936.CSI,中证电信
000936.SH,中证电信(SH)
000937.CSI,中证公用
000937.SH,中证公用(SH)
000938.CSI,中证民企
000938.SH,中证民企(SH)
000939.CSI,民企成长
000940.CSI,财富大盘
000941.CSI,新能源
000941.SH,新能源(SH)
000942.CSI,内地消费
000942.SH,内地消费(SH)
000943.CSI,内地基建
000943.SH,内地基建(SH)
000944.SH,内地资源
000945.CSI,内地运输
000945.SH,内地运输(SH)
000946.CSI,内地金融
000946.SH,内地金融(SH)
000947.CSI,内地银行
000947.SH,内地银行(SH)
000948.CSI,内地地产
000948.SH,内地地产(SH)
000949.CSI,内地农业
000949.SH,内地农业(SH)
000950.CSI,300基建
000951.CSI,300银行
000952.CSI,300地产
000953.CSI,中证地企
000953.SH,中证地企(SH)
000954.CSI,地企100
000954.SH,地企100(SH)
000955.CSI,中证国企
000955.SH,中证国企(SH)
000956.CSI,国企200
000956.SH,国企200(SH)
000957.CSI,300运输
000958.SH,创业成长
000959.CSI,银河99
000960.CSI,中证龙头
000960.SH,中证龙头(SH)
000961.CSI,中证上游
000962.CSI,中证中游
000962.SH,中证中游(SH)
000963.CSI,中证下游
000964.CSI,中证新兴
000965.CSI,基本200
000965.SH,基本200(SH)
000966.SH,基本400
000967.CSI,基本600
000967.SH,基本600(SH)
000968.CSI,300周期
000968.SH,300周期(SH)
000969.CSI,300非周
000970.CSI,ESG40
000970.SH,ESG40(SH)
000971.SH,等权90
000972.CSI,300沪市
000972.SH,300沪市(SH)
000973.SH,技术领先
000975.CSI,钱江30
000976.SH,新华金牛
000977.CSI,内地低碳
000978.CSI,医药100
000979.CSI,大宗商品
000980.CSI,中证超大
000980.SH,中证超大(SH)
000981.CSI,300分层
000981.SH,300分层(SH)
000982.SH,500等权
000983.CSI,智能资产
000984.SH,300等权
000985.CSI,中证全指
000985.SH,中证全指(SH)
000986.SH,全指能源
000987.SH,全指材料
000988.CSI,全指工业
000988.SH,全指工业(SH)
000989.SH,全指可选
000990.SH,全指消费
000991.SH,全指医药
000992.SH,全指金融
000993.SH,全指信息
000994.CSI,全指电信
000994.SH,全指电信(SH)
000995.CSI,全指公用
000995.SH,全指公用(SH)
000996.SH,领先行业
000997.SH,大消费
000998.SH,中证TMT
399001.SZ,深证成指
399002.SZ,深成指R
399004.SZ,深证100R
399005.SZ,中小板指
399006.SZ,创业板指
399007.SZ,深证300
399008.SZ,中小300
399009.SZ,深证200
399010.SZ,深证700
399011.SZ,深证1000
399012.SZ,创业300
399013.SZ,深市精选
399015.SZ,中小创新
399016.SZ,深证创新
399017.SZ,SME创新
399018.SZ,创业创新
399050.SZ,创新引擎
399100.SZ,深证新综指
399101.SZ,中小板综
399102.SZ,创业板综
399103.SZ,乐富指数
399107.SZ,深证A指
399231.SZ,农林指数
399232.SZ,采矿指数
399233.SZ,制造指数
399234.SZ,水电指数
399235.SZ,建筑指数
399236.SZ,批零指数
399237.SZ,运输指数
399238.SZ,餐饮指数
399239.SZ,IT指数
399240.SZ,金融指数
399241.SZ,地产指数
399242.SZ,商务指数
399243.SZ,科研指数
399244.SZ,公共指数
399248.SZ,文化指数
399249.SZ,综企指数
399292.SZ,民企发展
399293.SZ,创业大盘
399295.SZ,创业蓝筹
399296.SZ,创成长
399298.SZ,深信中高
399299.SZ,深信中低
399300.SZ,沪深300
399301.SZ,深信用债
399302.SZ,深公司债
399303.SZ,国证2000
399305.SZ,深证基金指数
399306.SZ,深证ETF
399307.SZ,深证转债
399310.SZ,国证50
399311.SZ,国证1000
399312.SZ,国证300
399313.SZ,巨潮100
399314.SZ,巨潮大盘
399315.SZ,巨潮中盘
399316.SZ,巨潮小盘
399317.SZ,国证A指
399319.SZ,资源优势
399320.SZ,国证服务
399321.SZ,国证红利
399322.SZ,国证治理
399324.SZ,深证红利
399326.SZ,成长40
399328.SZ,深证治理
399329.SZ,中小板100指数P
399330.SZ,深证100
399332.SZ,深证创新(旧)
399333.SZ,中小板指R
399335.SZ,深证央企
399337.SZ,深证民营
399339.SZ,深证科技
399341.SZ,深证责任
399344.SZ,深证300R
399346.SZ,深证成长
399348.SZ,深证价值
399350.SZ,皖江30
399351.SZ,深圳创新
399352.SZ,深企综指
399353.SZ,国证物流
399354.SZ,分析师指数
399355.SZ,CBN长江
399356.SZ,CBN珠江
399357.SZ,CBN渤海
399358.SZ,泰达环保指数
399359.SZ,国证基建
399360.SZ,新硬件
399361.SZ,国证商业
399362.SZ,民企100
399363.SZ,计算机指
399364.SZ,消费100
399365.SZ,国证农业
399366.SZ,国证大宗
399367.SZ,巨潮地产
399368.SZ,国证军工
399369.SZ,CBN-兴全
399370.SZ,国证成长
399371.SZ,国证价值
399372.SZ,大盘成长
399373.SZ,大盘价值
399374.SZ,中盘成长
399375.SZ,中盘价值
399376.SZ,小盘成长
399377.SZ,小盘价值
399378.SZ,南方低碳
399379.SZ,国证基金
399380.SZ,国证ETF
399381.SZ,1000能源
399382.SZ,1000材料
399383.SZ,1000工业
399384.SZ,1000可选
399385.SZ,1000消费
399386.SZ,1000医药
399387.SZ,1000金融
399388.SZ,1000信息
399389.SZ,国证通信
399390.SZ,1000公用
399391.SZ,投资时钟
399392.SZ,国证新兴
